t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
45.75,retract_suppressed,0.012385,0.0,-0.81174,0.35,,,,G1 X89.422 Y87.922 E-0.81174,; [stabilizer] RETRACTION SUPPRESSED: G1 X89.422 Y87.922 E-0.81174 | G4 S0.35 ; dwell instead of retract | G1 X89.422 Y87.922 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
46.1,retract_suppressed,0.011678,0.0,-4.0,0.35,,,,G1 E-4.00000 F300.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F300.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F120.0 ; micro-prime after dwell
46.45,retract_suppressed,0.011012,0.0,-4.0,0.35,,,,G1 E-4.00000 F300.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F300.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F120.0 ; micro-prime after dwell
46.8,retract_suppressed,0.010383,0.0,-0.24473,0.35,,,,G1 X108.248 Y114.286 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.248 Y114.286 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X108.248 Y114.286 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
47.15,retract_suppressed,0.009791,0.0,-0.06228,0.35,,,,G1 X107.235 Y114.705 E-0.06228,; [stabilizer] RETRACTION SUPPRESSED: G1 X107.235 Y114.705 E-0.06228 | G4 S0.35 ; dwell instead of retract | G1 X107.235 Y114.705 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
47.5,retract_suppressed,0.009232,0.0,-0.18245,0.35,,,,G1 X104.269 Y115.934 E-0.18245,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.269 Y115.934 E-0.18245 | G4 S0.35 ; dwell instead of retract | G1 X104.269 Y115.934 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
47.85,retract_suppressed,0.008705,0.0,-0.2447,0.35,,,,G1 X100.000 Y116.495 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X100.000 Y116.495 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X100.000 Y116.495 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
48.2,retract_suppressed,0.008208,0.0,-0.2447,0.35,,,,G1 X95.731 Y115.934 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.731 Y115.934 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X95.731 Y115.934 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
48.55,retract_suppressed,0.00774,0.0,-0.24474,0.35,,,,G1 X91.752 Y114.286 E-0.24474,; [stabilizer] RETRACTION SUPPRESSED: G1 X91.752 Y114.286 E-0.24474 | G4 S0.35 ; dwell instead of retract | G1 X91.752 Y114.286 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
48.9,retract_suppressed,0.007298,0.0,-0.24473,0.35,,,,G1 X88.336 Y111.664 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X88.336 Y111.664 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X88.336 Y111.664 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
49.25,retract_suppressed,0.006882,0.0,-0.24473,0.35,,,,G1 X85.714 Y108.248 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X85.714 Y108.248 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X85.714 Y108.248 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
49.6,retract_suppressed,0.006489,0.0,-0.06228,0.35,,,,G1 X85.295 Y107.235 E-0.06228,; [stabilizer] RETRACTION SUPPRESSED: G1 X85.295 Y107.235 E-0.06228 | G4 S0.35 ; dwell instead of retract | G1 X85.295 Y107.235 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
49.95,retract_suppressed,0.006119,0.0,-0.18245,0.35,,,,G1 X84.066 Y104.269 E-0.18245,; [stabilizer] RETRACTION SUPPRESSED: G1 X84.066 Y104.269 E-0.18245 | G4 S0.35 ; dwell instead of retract | G1 X84.066 Y104.269 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
50.3,retract_suppressed,0.005769,0.0,-0.2447,0.35,,,,G1 X83.505 Y100.000 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X83.505 Y100.000 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X83.505 Y100.000 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
50.65,retract_suppressed,0.00544,0.0,-0.2447,0.35,,,,G1 X84.066 Y95.731 E-0.24470,; [stabilizer] RETRACTION SUPPRESSED: G1 X84.066 Y95.731 E-0.24470 | G4 S0.35 ; dwell instead of retract | G1 X84.066 Y95.731 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
51.0,retract_suppressed,0.00513,0.0,-0.24474,0.35,,,,G1 X85.714 Y91.752 E-0.24474,; [stabilizer] RETRACTION SUPPRESSED: G1 X85.714 Y91.752 E-0.24474 | G4 S0.35 ; dwell instead of retract | G1 X85.714 Y91.752 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
51.35,retract_suppressed,0.004837,0.0,-0.24473,0.35,,,,G1 X88.336 Y88.336 E-0.24473,; [stabilizer] RETRACTION SUPPRESSED: G1 X88.336 Y88.336 E-0.24473 | G4 S0.35 ; dwell instead of retract | G1 X88.336 Y88.336 ; travel (no extrusion) | G1 E0.600 F120.0 ; micro-prime after travel
