t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
91.6,retract_suppressed,6e-06,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
91.95,retract_suppressed,5e-06,0.0,-0.00664,0.35,,,,G1 X118.606 Y89.248 E-0.00664,; [stabilizer] RETRACTION SUPPRESSED: G1 X118.606 Y89.248 E-0.00664 | G4 S0.35 ; dwell instead of retract | G1 X118.606 Y89.248 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
92.3,retract_suppressed,5e-06,0.0,-0.01362,0.35,,,,G1 X117.510 Y91.368 E-0.01362,; [stabilizer] RETRACTION SUPPRESSED: G1 X117.510 Y91.368 E-0.01362 | G4 S0.35 ; dwell instead of retract | G1 X117.510 Y91.368 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
92.65,retract_suppressed,5e-06,0.0,-0.02378,0.35,,,,G1 X120.455 Y88.422 E-0.02378,; [stabilizer] RETRACTION SUPPRESSED: G1 X120.455 Y88.422 E-0.02378 | G4 S0.35 ; dwell instead of retract | G1 X120.455 Y88.422 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
93.0,retract_suppressed,4e-06,0.0,-0.00823,0.35,,,,G1 X121.887 Y88.258 E-0.00823,; [stabilizer] RETRACTION SUPPRESSED: G1 X121.887 Y88.258 E-0.00823 | G4 S0.35 ; dwell instead of retract | G1 X121.887 Y88.258 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
93.35,retract_suppressed,4e-06,0.0,-0.04631,0.35,,,,G1 X116.151 Y93.994 E-0.04631,; [stabilizer] RETRACTION SUPPRESSED: G1 X116.151 Y93.994 E-0.04631 | G4 S0.35 ; dwell instead of retract | G1 X116.151 Y93.994 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
93.7,retract_suppressed,4e-06,0.0,-0.01688,0.35,,,,G1 X114.793 Y96.621 E-0.01688,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.793 Y96.621 E-0.01688 | G4 S0.35 ; dwell instead of retract | G1 X114.793 Y96.621 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
94.05,retract_suppressed,4e-06,0.0,-0.06884,0.35,,,,G1 X123.319 Y88.095 E-0.06884,; [stabilizer] RETRACTION SUPPRESSED: G1 X123.319 Y88.095 E-0.06884 | G4 S0.35 ; dwell instead of retract | G1 X123.319 Y88.095 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
94.4,retract_suppressed,4e-06,0.0,-0.00823,0.35,,,,G1 X124.751 Y87.931 E-0.00823,; [stabilizer] RETRACTION SUPPRESSED: G1 X124.751 Y87.931 E-0.00823 | G4 S0.35 ; dwell instead of retract | G1 X124.751 Y87.931 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
94.75,retract_suppressed,3e-06,0.0,-0.23177,0.35,,,,G1 X96.044 Y116.638 E-0.23177,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y116.638 E-0.23177 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y116.638 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
95.1,retract_suppressed,3e-06,0.0,-0.00724,0.35,,,,G1 X96.044 Y117.906 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y117.906 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y117.906 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
95.45,retract_suppressed,3e-06,0.0,-0.24333,0.35,,,,G1 X126.183 Y87.767 E-0.24333,; [stabilizer] RETRACTION SUPPRESSED: G1 X126.183 Y87.767 E-0.24333 | G4 S0.35 ; dwell instead of retract | G1 X126.183 Y87.767 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
95.8,retract_suppressed,3e-06,0.0,-0.00823,0.35,,,,G1 X127.615 Y87.604 E-0.00823,; [stabilizer] RETRACTION SUPPRESSED: G1 X127.615 Y87.604 E-0.00823 | G4 S0.35 ; dwell instead of retract | G1 X127.615 Y87.604 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
96.15,retract_suppressed,3e-06,0.0,-0.13979,0.35,,,,G1 X110.300 Y104.918 E-0.13979,; [stabilizer] RETRACTION SUPPRESSED: G1 X110.300 Y104.918 E-0.13979 | G4 S0.35 ; dwell instead of retract | G1 X110.300 Y104.918 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
96.5,retract_suppressed,2e-06,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
96.85,retract_suppressed,2e-06,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
97.2,retract_suppressed,2e-06,0.0,-0.07164,0.35,,,,G1 X96.044 Y119.174 E-0.07164,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y119.174 E-0.07164 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y119.174 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
97.55,retract_suppressed,2e-06,0.0,-0.00724,0.35,,,,G1 X96.044 Y120.442 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y120.442 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y120.442 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
97.9,retract_suppressed,2e-06,0.0,-0.06692,0.35,,,,G1 X104.334 Y112.153 E-0.06692,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.334 Y112.153 E-0.06692 | G4 S0.35 ; dwell instead of retract | G1 X104.334 Y112.153 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
98.25,retract_suppressed,2e-06,0.0,-0.00871,0.35,,,,G1 X104.095 Y113.660 E-0.00871,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.095 Y113.660 E-0.00871 | G4 S0.35 ; dwell instead of retract | G1 X104.095 Y113.660 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
98.6,retract_suppressed,2e-06,0.0,-0.06499,0.35,,,,G1 X96.044 Y121.710 E-0.06499,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y121.710 E-0.06499 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y121.710 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
98.95,retract_suppressed,2e-06,0.0,-0.00724,0.35,,,,G1 X96.044 Y122.978 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y122.978 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y122.978 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
99.3,retract_suppressed,2e-06,0.0,-0.0642,0.35,,,,G1 X103.996 Y115.027 E-0.06420,; [stabilizer] RETRACTION SUPPRESSED: G1 X103.996 Y115.027 E-0.06420 | G4 S0.35 ; dwell instead of retract | G1 X103.996 Y115.027 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
99.65,retract_suppressed,1e-06,0.0,-0.00633,0.35,,,,G1 X104.170 Y116.122 E-0.00633,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.170 Y116.122 E-0.00633 | G4 S0.35 ; dwell instead of retract | G1 X104.170 Y116.122 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
100.0,retract_suppressed,1e-06,0.0,-0.0656,0.35,,,,G1 X96.044 Y124.247 E-0.06560,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y124.247 E-0.06560 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y124.247 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
100.35,retract_suppressed,1e-06,0.0,-0.00724,0.35,,,,G1 X96.044 Y125.515 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.044 Y125.515 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X96.044 Y125.515 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
100.7,retract_suppressed,1e-06,0.0,-0.067,0.35,,,,G1 X104.343 Y117.216 E-0.06700,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.343 Y117.216 E-0.06700 | G4 S0.35 ; dwell instead of retract | G1 X104.343 Y117.216 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
101.05,retract_suppressed,1e-06,0.0,-0.00557,0.35,,,,G1 X104.496 Y118.181 E-0.00557,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.496 Y118.181 E-0.00557 | G4 S0.35 ; dwell instead of retract | G1 X104.496 Y118.181 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
101.4,retract_suppressed,1e-06,0.0,-0.00064,0.35,,,,G1 X104.547 Y118.280 E-0.00064,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.547 Y118.280 E-0.00064 | G4 S0.35 ; dwell instead of retract | G1 X104.547 Y118.280 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
101.75,retract_suppressed,1e-06,0.0,-0.12655,0.35,,,,G1 X88.873 Y133.954 E-0.12655,; [stabilizer] RETRACTION SUPPRESSED: G1 X88.873 Y133.954 E-0.12655 | G4 S0.35 ; dwell instead of retract | G1 X88.873 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
102.1,retract_suppressed,1e-06,0.0,-0.00724,0.35,,,,G1 X90.141 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X90.141 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X90.141 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
102.45,retract_suppressed,1e-06,0.0,-0.11976,0.35,,,,G1 X104.975 Y119.121 E-0.11976,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.975 Y119.121 E-0.11976 | G4 S0.35 ; dwell instead of retract | G1 X104.975 Y119.121 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
102.8,retract_suppressed,1e-06,0.0,-0.00538,0.35,,,,G1 X105.403 Y119.961 E-0.00538,; [stabilizer] RETRACTION SUPPRESSED: G1 X105.403 Y119.961 E-0.00538 | G4 S0.35 ; dwell instead of retract | G1 X105.403 Y119.961 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
103.15,retract_suppressed,1e-06,0.0,-0.11298,0.35,,,,G1 X91.409 Y133.954 E-0.11298,; [stabilizer] RETRACTION SUPPRESSED: G1 X91.409 Y133.954 E-0.11298 | G4 S0.35 ; dwell instead of retract | G1 X91.409 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
103.5,retract_suppressed,1e-06,0.0,-0.00724,0.35,,,,G1 X92.678 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X92.678 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X92.678 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
103.85,retract_suppressed,1e-06,0.0,-0.10619,0.35,,,,G1 X105.831 Y120.801 E-0.10619,; [stabilizer] RETRACTION SUPPRESSED: G1 X105.831 Y120.801 E-0.10619 | G4 S0.35 ; dwell instead of retract | G1 X105.831 Y120.801 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
104.2,retract_suppressed,1e-06,0.0,-0.00359,0.35,,,,G1 X106.116 Y121.362 E-0.00359,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.116 Y121.362 E-0.00359 | G4 S0.35 ; dwell instead of retract | G1 X106.116 Y121.362 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
104.55,retract_suppressed,1e-06,0.0,-0.0017,0.35,,,,G1 X106.328 Y121.573 E-0.00170,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.328 Y121.573 E-0.00170 | G4 S0.35 ; dwell instead of retract | G1 X106.328 Y121.573 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
104.9,retract_suppressed,1e-06,0.0,-0.09997,0.35,,,,G1 X93.946 Y133.954 E-0.09997,; [stabilizer] RETRACTION SUPPRESSED: G1 X93.946 Y133.954 E-0.09997 | G4 S0.35 ; dwell instead of retract | G1 X93.946 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
105.25,retract_suppressed,1e-06,0.0,-0.00724,0.35,,,,G1 X95.214 Y133.955 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X95.214 Y133.955 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X95.214 Y133.955 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
105.6,retract_suppressed,1e-06,0.0,-0.09485,0.35,,,,G1 X106.962 Y122.207 E-0.09485,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.962 Y122.207 E-0.09485 | G4 S0.35 ; dwell instead of retract | G1 X106.962 Y122.207 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
105.95,retract_suppressed,1e-06,0.0,-0.00512,0.35,,,,G1 X107.596 Y122.841 E-0.00512,; [stabilizer] RETRACTION SUPPRESSED: G1 X107.596 Y122.841 E-0.00512 | G4 S0.35 ; dwell instead of retract | G1 X107.596 Y122.841 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
106.3,retract_suppressed,0.0,0.0,-0.08973,0.35,,,,G1 X96.482 Y133.954 E-0.08973,; [stabilizer] RETRACTION SUPPRESSED: G1 X96.482 Y133.954 E-0.08973 | G4 S0.35 ; dwell instead of retract | G1 X96.482 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
106.65,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X97.750 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X97.750 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X97.750 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
107.0,retract_suppressed,0.0,0.0,-0.08461,0.35,,,,G1 X108.230 Y123.475 E-0.08461,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.230 Y123.475 E-0.08461 | G4 S0.35 ; dwell instead of retract | G1 X108.230 Y123.475 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
107.35,retract_suppressed,0.0,0.0,-0.00332,0.35,,,,G1 X108.641 Y123.886 E-0.00332,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.641 Y123.886 E-0.00332 | G4 S0.35 ; dwell instead of retract | G1 X108.641 Y123.886 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
107.7,retract_suppressed,0.0,0.0,-0.00189,0.35,,,,G1 X108.937 Y124.036 E-0.00189,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.937 Y124.036 E-0.00189 | G4 S0.35 ; dwell instead of retract | G1 X108.937 Y124.036 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
108.05,retract_suppressed,0.0,0.0,-0.08008,0.35,,,,G1 X99.019 Y133.954 E-0.08008,; [stabilizer] RETRACTION SUPPRESSED: G1 X99.019 Y133.954 E-0.08008 | G4 S0.35 ; dwell instead of retract | G1 X99.019 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
108.4,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X100.287 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X100.287 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X100.287 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
108.75,retract_suppressed,0.0,0.0,-0.07662,0.35,,,,G1 X109.777 Y124.464 E-0.07662,; [stabilizer] RETRACTION SUPPRESSED: G1 X109.777 Y124.464 E-0.07662 | G4 S0.35 ; dwell instead of retract | G1 X109.777 Y124.464 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
109.1,retract_suppressed,0.0,0.0,-0.00538,0.35,,,,G1 X110.617 Y124.893 E-0.00538,; [stabilizer] RETRACTION SUPPRESSED: G1 X110.617 Y124.893 E-0.00538 | G4 S0.35 ; dwell instead of retract | G1 X110.617 Y124.893 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
109.45,retract_suppressed,0.0,0.0,-0.07316,0.35,,,,G1 X101.555 Y133.954 E-0.07316,; [stabilizer] RETRACTION SUPPRESSED: G1 X101.555 Y133.954 E-0.07316 | G4 S0.35 ; dwell instead of retract | G1 X101.555 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
109.8,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X102.823 Y133.955 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X102.823 Y133.955 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X102.823 Y133.955 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
110.15,retract_suppressed,0.0,0.0,-0.06971,0.35,,,,G1 X111.457 Y125.321 E-0.06971,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.457 Y125.321 E-0.06971 | G4 S0.35 ; dwell instead of retract | G1 X111.457 Y125.321 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
110.5,retract_suppressed,0.0,0.0,-0.00234,0.35,,,,G1 X111.822 Y125.507 E-0.00234,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.822 Y125.507 E-0.00234 | G4 S0.35 ; dwell instead of retract | G1 X111.822 Y125.507 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
110.85,retract_suppressed,0.0,0.0,-0.00358,0.35,,,,G1 X112.441 Y125.605 E-0.00358,; [stabilizer] RETRACTION SUPPRESSED: G1 X112.441 Y125.605 E-0.00358 | G4 S0.35 ; dwell instead of retract | G1 X112.441 Y125.605 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
111.2,retract_suppressed,0.0,0.0,-0.06741,0.35,,,,G1 X104.091 Y133.954 E-0.06741,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.091 Y133.954 E-0.06741 | G4 S0.35 ; dwell instead of retract | G1 X104.091 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
111.55,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X105.360 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X105.360 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X105.360 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
111.9,retract_suppressed,0.0,0.0,-0.06601,0.35,,,,G1 X113.536 Y125.778 E-0.06601,; [stabilizer] RETRACTION SUPPRESSED: G1 X113.536 Y125.778 E-0.06601 | G4 S0.35 ; dwell instead of retract | G1 X113.536 Y125.778 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
112.25,retract_suppressed,0.0,0.0,-0.00633,0.35,,,,G1 X114.630 Y125.952 E-0.00633,; [stabilizer] RETRACTION SUPPRESSED: G1 X114.630 Y125.952 E-0.00633 | G4 S0.35 ; dwell instead of retract | G1 X114.630 Y125.952 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
112.6,retract_suppressed,0.0,0.0,-0.06461,0.35,,,,G1 X106.628 Y133.954 E-0.06461,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.628 Y133.954 E-0.06461 | G4 S0.35 ; dwell instead of retract | G1 X106.628 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
112.95,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X107.896 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X107.896 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X107.896 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
113.3,retract_suppressed,0.0,0.0,-0.06435,0.35,,,,G1 X115.867 Y125.984 E-0.06435,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.867 Y125.984 E-0.06435 | G4 S0.35 ; dwell instead of retract | G1 X115.867 Y125.984 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
113.65,retract_suppressed,0.0,0.0,-0.00871,0.35,,,,G1 X117.374 Y125.745 E-0.00871,; [stabilizer] RETRACTION SUPPRESSED: G1 X117.374 Y125.745 E-0.00871 | G4 S0.35 ; dwell instead of retract | G1 X117.374 Y125.745 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
114.0,retract_suppressed,0.0,0.0,-0.06628,0.35,,,,G1 X109.164 Y133.954 E-0.06628,; [stabilizer] RETRACTION SUPPRESSED: G1 X109.164 Y133.954 E-0.06628 | G4 S0.35 ; dwell instead of retract | G1 X109.164 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
114.35,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X110.432 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X110.432 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X110.432 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
114.7,retract_suppressed,0.0,0.0,-0.06825,0.35,,,,G1 X118.885 Y125.501 E-0.06825,; [stabilizer] RETRACTION SUPPRESSED: G1 X118.885 Y125.501 E-0.06825 | G4 S0.35 ; dwell instead of retract | G1 X118.885 Y125.501 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
115.05,retract_suppressed,0.0,0.0,-0.01657,0.35,,,,G1 X121.472 Y124.183 E-0.01657,; [stabilizer] RETRACTION SUPPRESSED: G1 X121.472 Y124.183 E-0.01657 | G4 S0.35 ; dwell instead of retract | G1 X121.472 Y124.183 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
115.4,retract_suppressed,0.0,0.0,-0.07889,0.35,,,,G1 X111.701 Y133.954 E-0.07889,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.701 Y133.954 E-0.07889 | G4 S0.35 ; dwell instead of retract | G1 X111.701 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
115.75,retract_suppressed,0.0,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
116.1,retract_suppressed,0.0,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
116.45,retract_suppressed,0.0,0.0,-0.00561,0.35,,,,G1 X133.954 Y133.260 E-0.00561,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y133.260 E-0.00561 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y133.260 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
116.8,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X133.954 Y131.992 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y131.992 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y131.992 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
117.15,retract_suppressed,0.0,0.0,-0.01585,0.35,,,,G1 X131.992 Y133.954 E-0.01585,; [stabilizer] RETRACTION SUPPRESSED: G1 X131.992 Y133.954 E-0.01585 | G4 S0.35 ; dwell instead of retract | G1 X131.992 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
117.5,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X130.724 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X130.724 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X130.724 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
117.85,retract_suppressed,0.0,0.0,-0.02608,0.35,,,,G1 X133.954 Y130.724 E-0.02608,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y130.724 E-0.02608 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y130.724 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
118.2,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X133.954 Y129.455 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y129.455 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y129.455 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
118.55,retract_suppressed,0.0,0.0,-0.03632,0.35,,,,G1 X129.455 Y133.954 E-0.03632,; [stabilizer] RETRACTION SUPPRESSED: G1 X129.455 Y133.954 E-0.03632 | G4 S0.35 ; dwell instead of retract | G1 X129.455 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
118.9,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X128.187 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X128.187 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X128.187 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
119.25,retract_suppressed,0.0,0.0,-0.04656,0.35,,,,G1 X133.954 Y128.187 E-0.04656,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y128.187 E-0.04656 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y128.187 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
119.6,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X133.954 Y126.919 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y126.919 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y126.919 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
119.95,retract_suppressed,0.0,0.0,-0.0568,0.35,,,,G1 X126.919 Y133.954 E-0.05680,; [stabilizer] RETRACTION SUPPRESSED: G1 X126.919 Y133.954 E-0.05680 | G4 S0.35 ; dwell instead of retract | G1 X126.919 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
120.3,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X125.651 Y133.954 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X125.651 Y133.954 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X125.651 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
120.65,retract_suppressed,0.0,0.0,-0.06704,0.35,,,,G1 X133.954 Y125.651 E-0.06704,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y125.651 E-0.06704 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y125.651 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
121.0,retract_suppressed,0.0,0.0,-0.00724,0.35,,,,G1 X133.954 Y124.383 E-0.00724,; [stabilizer] RETRACTION SUPPRESSED: G1 X133.954 Y124.383 E-0.00724 | G4 S0.35 ; dwell instead of retract | G1 X133.954 Y124.383 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
121.35,retract_suppressed,0.0,0.0,-0.07728,0.35,,,,G1 X124.383 Y133.954 E-0.07728,; [stabilizer] RETRACTION SUPPRESSED: G1 X124.383 Y133.954 E-0.07728 | G4 S0.35 ; dwell instead of retract | G1 X124.383 Y133.954 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
