t_s,action,p_hat,u_prev,e_cmd,dt_s,u_raw,u_shaped,feed_scale,in,out
7.95,retract_suppressed,7.064742,0.0,-0.01674,0.35,,,,G1 X137.321 Y145.643 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X137.321 Y145.643 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X137.321 Y145.643 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
8.3,retract_suppressed,6.66156,0.0,-0.01327,0.35,,,,G1 X135.000 Y145.893 E-0.01327,; [stabilizer] RETRACTION SUPPRESSED: G1 X135.000 Y145.893 E-0.01327 | G4 S0.35 ; dwell instead of retract | G1 X135.000 Y145.893 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
8.65,retract_suppressed,6.281387,0.0,-0.39782,0.35,,,,G1 X65.000 Y145.893 E-0.39782,; [stabilizer] RETRACTION SUPPRESSED: G1 X65.000 Y145.893 E-0.39782 | G4 S0.35 ; dwell instead of retract | G1 X65.000 Y145.893 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
9.0,retract_suppressed,5.92291,0.0,-0.01674,0.35,,,,G1 X62.082 Y145.495 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X62.082 Y145.495 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X62.082 Y145.495 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
9.35,retract_suppressed,5.584892,0.0,-0.01674,0.35,,,,G1 X59.377 Y144.329 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X59.377 Y144.329 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X59.377 Y144.329 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
9.7,retract_suppressed,5.266164,0.0,-0.01674,0.35,,,,G1 X57.083 Y142.482 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X57.083 Y142.482 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X57.083 Y142.482 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
10.05,retract_suppressed,4.965626,0.0,-0.01674,0.35,,,,G1 X55.368 Y140.087 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X55.368 Y140.087 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X55.368 Y140.087 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
10.4,retract_suppressed,4.682239,0.0,-0.01674,0.35,,,,G1 X54.357 Y137.321 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X54.357 Y137.321 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X54.357 Y137.321 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
10.75,retract_suppressed,4.415025,0.0,-0.01327,0.35,,,,G1 X54.107 Y135.000 E-0.01327,; [stabilizer] RETRACTION SUPPRESSED: G1 X54.107 Y135.000 E-0.01327 | G4 S0.35 ; dwell instead of retract | G1 X54.107 Y135.000 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
11.1,retract_suppressed,4.163061,0.0,-0.39782,0.35,,,,G1 X54.107 Y65.000 E-0.39782,; [stabilizer] RETRACTION SUPPRESSED: G1 X54.107 Y65.000 E-0.39782 | G4 S0.35 ; dwell instead of retract | G1 X54.107 Y65.000 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
11.45,retract_suppressed,3.925477,0.0,-0.01674,0.35,,,,G1 X54.505 Y62.082 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X54.505 Y62.082 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X54.505 Y62.082 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
11.8,retract_suppressed,3.701451,0.0,-0.01674,0.35,,,,G1 X55.671 Y59.377 E-0.01674,; [stabilizer] RETRACTION SUPPRESSED: G1 X55.671 Y59.377 E-0.01674 | G4 S0.35 ; dwell instead of retract | G1 X55.671 Y59.377 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
12.15,retract_suppressed,3.490211,0.0,-0.01631,0.35,,,,G1 X57.471 Y57.142 E-0.01631,; [stabilizer] RETRACTION SUPPRESSED: G1 X57.471 Y57.142 E-0.01631 | G4 S0.35 ; dwell instead of retract | G1 X57.471 Y57.142 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
12.5,retract_suppressed,3.291026,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
12.85,retract_suppressed,3.103208,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
13.2,retract_suppressed,2.926109,0.0,-0.01109,0.35,,,,G1 X121.178 Y123.502 E-0.01109,; [stabilizer] RETRACTION SUPPRESSED: G1 X121.178 Y123.502 E-0.01109 | G4 S0.35 ; dwell instead of retract | G1 X121.178 Y123.502 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
13.55,retract_suppressed,2.759117,0.0,-0.01868,0.35,,,,G1 X118.248 Y124.994 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X118.248 Y124.994 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X118.248 Y124.994 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
13.9,retract_suppressed,2.601655,0.0,-0.01869,0.35,,,,G1 X115.001 Y125.509 E-0.01869,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.001 Y125.509 E-0.01869 | G4 S0.35 ; dwell instead of retract | G1 X115.001 Y125.509 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
14.25,retract_suppressed,2.45318,0.0,-0.01868,0.35,,,,G1 X111.754 Y124.994 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.754 Y124.994 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X111.754 Y124.994 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
14.6,retract_suppressed,2.313177,0.0,-0.01868,0.35,,,,G1 X108.825 Y123.502 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.825 Y123.502 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X108.825 Y123.502 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
14.95,retract_suppressed,2.181165,0.0,-0.01868,0.35,,,,G1 X106.500 Y121.178 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.500 Y121.178 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X106.500 Y121.178 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
15.3,retract_suppressed,2.056687,0.0,-0.01868,0.35,,,,G1 X105.009 Y118.248 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X105.009 Y118.248 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X105.009 Y118.248 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
15.65,retract_suppressed,1.939312,0.0,-0.01868,0.35,,,,G1 X104.494 Y115.002 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X104.494 Y115.002 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X104.494 Y115.002 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
16.0,retract_suppressed,1.828637,0.0,-0.01869,0.35,,,,G1 X105.009 Y111.755 E-0.01869,; [stabilizer] RETRACTION SUPPRESSED: G1 X105.009 Y111.755 E-0.01869 | G4 S0.35 ; dwell instead of retract | G1 X105.009 Y111.755 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
16.35,retract_suppressed,1.724277,0.0,-0.01868,0.35,,,,G1 X106.500 Y108.825 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X106.500 Y108.825 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X106.500 Y108.825 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
16.7,retract_suppressed,1.625873,0.0,-0.01868,0.35,,,,G1 X108.825 Y106.501 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X108.825 Y106.501 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X108.825 Y106.501 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
17.05,retract_suppressed,1.533085,0.0,-0.01868,0.35,,,,G1 X111.755 Y105.009 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.755 Y105.009 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X111.755 Y105.009 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
17.4,retract_suppressed,1.445592,0.0,-0.01868,0.35,,,,G1 X115.001 Y104.495 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X115.001 Y104.495 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X115.001 Y104.495 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
17.75,retract_suppressed,1.363093,0.0,-0.01869,0.35,,,,G1 X118.248 Y105.009 E-0.01869,; [stabilizer] RETRACTION SUPPRESSED: G1 X118.248 Y105.009 E-0.01869 | G4 S0.35 ; dwell instead of retract | G1 X118.248 Y105.009 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
18.1,retract_suppressed,1.285302,0.0,-0.01868,0.35,,,,G1 X121.178 Y106.501 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X121.178 Y106.501 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X121.178 Y106.501 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
18.45,retract_suppressed,1.21195,0.0,-0.01868,0.35,,,,G1 X123.502 Y108.825 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X123.502 Y108.825 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X123.502 Y108.825 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
18.8,retract_suppressed,1.142784,0.0,-0.01868,0.35,,,,G1 X124.994 Y111.755 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X124.994 Y111.755 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X124.994 Y111.755 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
19.15,retract_suppressed,1.077566,0.0,-0.01869,0.35,,,,G1 X125.508 Y115.002 E-0.01869,; [stabilizer] RETRACTION SUPPRESSED: G1 X125.508 Y115.002 E-0.01869 | G4 S0.35 ; dwell instead of retract | G1 X125.508 Y115.002 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
19.5,retract_suppressed,1.01607,0.0,-0.01868,0.35,,,,G1 X124.994 Y118.248 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X124.994 Y118.248 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X124.994 Y118.248 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
19.85,retract_suppressed,0.958083,0.0,-0.01868,0.35,,,,G1 X123.502 Y121.178 E-0.01868,; [stabilizer] RETRACTION SUPPRESSED: G1 X123.502 Y121.178 E-0.01868 | G4 S0.35 ; dwell instead of retract | G1 X123.502 Y121.178 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
20.2,retract_suppressed,0.903406,0.0,-0.00716,0.35,,,,G1 X122.610 Y122.069 E-0.00716,; [stabilizer] RETRACTION SUPPRESSED: G1 X122.610 Y122.069 E-0.00716 | G4 S0.35 ; dwell instead of retract | G1 X122.610 Y122.069 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
20.55,retract_suppressed,0.851849,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
20.9,retract_suppressed,0.803234,0.0,-4.0,0.35,,,,G1 E-4.00000 F1800.00000,; [stabilizer] RETRACTION SUPPRESSED: G1 E-4.00000 F1800.00000 | G4 S0.35 ; dwell instead of retract | G1 E0.600 F1800.0 ; micro-prime after dwell
21.25,retract_suppressed,0.757394,0.0,-0.0455,0.35,,,,G1 X111.523 Y87.819 E-0.04550,; [stabilizer] RETRACTION SUPPRESSED: G1 X111.523 Y87.819 E-0.04550 | G4 S0.35 ; dwell instead of retract | G1 X111.523 Y87.819 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
21.6,retract_suppressed,0.714169,0.0,-0.04383,0.35,,,,G1 X103.944 Y86.392 E-0.04383,; [stabilizer] RETRACTION SUPPRESSED: G1 X103.944 Y86.392 E-0.04383 | G4 S0.35 ; dwell instead of retract | G1 X103.944 Y86.392 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
21.95,retract_suppressed,0.673412,0.0,-0.04455,0.35,,,,G1 X109.642 Y81.008 E-0.04455,; [stabilizer] RETRACTION SUPPRESSED: G1 X109.642 Y81.008 E-0.04455 | G4 S0.35 ; dwell instead of retract | G1 X109.642 Y81.008 E0.600 F120.0 ; micro-prime after dwell (geometry preserved)
